algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.587368421053,0.410526315789,5.05263157895,9.47368421053,11.6315789474,1.57894736842,2.0,9.47368421053
randomForest,0,0,10,0.713157894737,0.508157894737,3.21052631579,9.47368421053,11.6315789474,1.57894736842,2.0,9.47368421053
0.0,0.6,0.0,10,0.908421052632,0.638947368421,0.421052631579,9.47368421053,11.6315789474,1.57894736842,2.0,9.47368421053
0.1,0.6,0.1,10,0.770526315789,0.543421052632,2.68421052632,9.47368421053,11.6315789474,1.57894736842,2.0,9.47368421053
0.2,0.6,0.2,10,0.698684210526,0.502368421053,4.36842105263,9.47368421053,11.6315789474,1.57894736842,2.0,9.47368421053
uniform,0,0,20,0.665701754386,0.402105263158,7.21052631579,17.7368421053,23.5263157895,2.05263157895,3.89473684211,17.7368421053
randomForest,0,0,20,0.779561403509,0.486754385965,4.78947368421,17.7368421053,23.5263157895,2.05263157895,3.89473684211,17.7368421053
0.0,0.6,0.0,20,0.923157894737,0.56,0.421052631579,17.7368421053,23.5263157895,2.05263157895,3.89473684211,17.7368421053
0.1,0.6,0.1,20,0.812807017544,0.518333333333,4.36842105263,17.7368421053,23.5263157895,2.05263157895,3.89473684211,17.7368421053
0.2,0.6,0.2,20,0.750087719298,0.477456140351,7.15789473684,17.7368421053,23.5263157895,2.05263157895,3.89473684211,17.7368421053
uniform,0,0,30,0.632368421053,0.356754385965,12.1578947368,25.0,30.9473684211,2.21052631579,3.94736842105,25.0
randomForest,0,0,30,0.783070175439,0.473859649123,5.15789473684,25.0,30.9473684211,2.21052631579,3.94736842105,25.0
0.0,0.6,0.0,30,0.92,0.541447368421,0.526315789474,25.0,30.9473684211,2.21052631579,3.94736842105,25.0
0.1,0.6,0.1,30,0.804561403509,0.490438596491,5.47368421053,25.0,30.9473684211,2.21052631579,3.94736842105,25.0
0.2,0.6,0.2,30,0.724561403509,0.442061403509,12.3157894737,25.0,30.9473684211,2.21052631579,3.94736842105,25.0
uniform,0,0,40,0.656666666667,0.373421052632,11.2105263158,29.2631578947,33.7368421053,2.21052631579,5.78947368421,29.2631578947
randomForest,0,0,40,0.817192982456,0.489649122807,4.15789473684,29.2631578947,33.7368421053,2.21052631579,5.78947368421,29.2631578947
0.0,0.6,0.0,40,0.933684210526,0.550263157895,0.105263157895,29.2631578947,33.7368421053,2.21052631579,5.78947368421,29.2631578947
0.1,0.6,0.1,40,0.828859649123,0.510526315789,4.68421052632,29.2631578947,33.7368421053,2.21052631579,5.78947368421,29.2631578947
0.2,0.6,0.2,40,0.729210526316,0.443157894737,13.2105263158,29.2631578947,33.7368421053,2.21052631579,5.78947368421,29.2631578947
