algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.0,0.0,0.0,0,28.25,1.5,0,0
randomForest,0,0,10,0.2825,0.1815,1.0,7.15,28.25,1.5,1.3,7.15
0.0,0.6,0.0,10,0.83175,0.62275,0.75,10.9,28.25,1.5,2.0,10.9
0.1,0.6,0.1,10,0.46125,0.35125,3.15,6.6,28.25,1.5,1.2,6.6
0.2,0.6,0.2,10,0.18325,0.14825,1.55,2.75,28.25,1.5,0.5,2.75
uniform,0,0,20,0.0369166666667,0.013,0.5,1.05,71.85,1.95,0.2,1.05
randomForest,0,0,20,0.32425,0.160166666667,1.7,11.5,71.85,1.95,2.2,11.5
0.0,0.6,0.0,20,0.79875,0.5195,2.15,20.95,71.85,1.95,3.95,20.95
0.1,0.6,0.1,20,0.2615,0.155666666667,2.25,7.35,71.85,1.95,1.4,7.35
0.2,0.6,0.2,20,0.07475,0.0498333333333,1.35,2.1,71.85,1.95,0.4,2.1
uniform,0,0,30,0.0355,0.0118333333333,0.9,1.55,114.2,2.2,0.2,1.55
randomForest,0,0,30,0.294,0.135833333333,2.25,13.9,114.2,2.2,1.8,13.9
0.0,0.6,0.0,30,0.76125,0.461625,2.95,29.4,114.2,2.2,3.8,29.4
0.1,0.6,0.1,30,0.25825,0.159708333333,4.1,10.85,114.2,2.2,1.4,10.85
0.2,0.6,0.2,30,0.1075,0.04775,1.45,4.65,114.2,2.2,0.6,4.65
uniform,0,0,40,0.0715,0.0296666666667,0.9,3.95,139.3,2.2,0.6,3.95
randomForest,0,0,40,0.2575,0.126916666667,1.35,15.65,139.3,2.2,2.4,15.65
0.0,0.6,0.0,40,0.783,0.490816666667,3.5,37.1,139.3,2.2,5.6,37.1
0.1,0.6,0.1,40,0.23225,0.128458333333,1.95,11.6,139.3,2.2,1.8,11.6
0.2,0.6,0.2,40,0.1115,0.0495,1.3,5.8,139.3,2.2,0.9,5.8
