algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.372225373024,0.273650224695,0.779608134921,3.2,10.9,28.25,1.5
randomForest,0,0,10,0.450318816049,0.321513482304,0.696785355168,3.55,10.9,28.25,1.5
0.0,0.6,0.0,10,0.942019112907,0.748301622869,0.995833333333,0.4,10.9,28.25,1.5
0.1,0.6,0.1,10,0.687483031008,0.538714765679,0.995833333333,0.4,10.9,28.25,1.5
0.2,0.6,0.2,10,0.564221770552,0.442602014226,0.945833333333,0.6,10.9,28.25,1.5
uniform,0,0,20,0.347082285606,0.205914263726,0.62757118165,11.45,20.95,71.85,1.95
randomForest,0,0,20,0.460060904743,0.272576936687,0.570942724166,14.25,20.95,71.85,1.95
0.0,0.6,0.0,20,0.928292390336,0.616158481191,0.837367843322,8.4,20.95,71.85,1.95
0.1,0.6,0.1,20,0.661407210808,0.424730809085,0.779034509988,8.6,20.95,71.85,1.95
0.2,0.6,0.2,20,0.534336025813,0.344889242613,0.762367843322,8.65,20.95,71.85,1.95
uniform,0,0,30,0.373076636917,0.229222184402,0.612916035178,22.55,30.95,114.2,2.2
randomForest,0,0,30,0.439309076912,0.265362435205,0.539432266176,26.65,30.95,114.2,2.2
0.0,0.6,0.0,30,0.906136324193,0.604831909527,0.753471590733,21.7,30.95,114.2,2.2
0.1,0.6,0.1,30,0.66256544265,0.434409789017,0.730554924066,21.75,30.95,114.2,2.2
0.2,0.6,0.2,30,0.533186805452,0.349171602005,0.697221590733,21.85,30.95,114.2,2.2
uniform,0,0,40,0.380260099998,0.231197282377,0.612450851983,26.55,39.05,139.3,2.2
randomForest,0,0,40,0.44886509322,0.272626772702,0.548744588229,30.0,39.05,139.3,2.2
0.0,0.6,0.0,40,0.902859784706,0.601413872901,0.752173074205,25.75,39.05,139.3,2.2
0.1,0.6,0.1,40,0.65984014388,0.430064729609,0.716756407539,25.8,39.05,139.3,2.2
0.2,0.6,0.2,40,0.533100204578,0.346817000698,0.695923074205,25.9,39.05,139.3,2.2
