algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.19175,0.1535,1.15,2.6,12.85,1.3,0.6,2.6
randomForest,0,0,10,0.35925,0.3195,1.55,4.7,12.85,1.3,1.0,4.7
0.0,0.6,0.0,10,0.88875,0.75025,0.15,8.95,12.85,1.3,2.0,8.95
0.1,0.6,0.1,10,0.5305,0.4535,1.55,6.45,12.85,1.3,1.4,6.45
0.2,0.6,0.2,10,0.37375,0.3205,2.05,4.55,12.85,1.3,1.0,4.55
uniform,0,0,20,0.229416666667,0.155,1.15,4.7,22.15,1.5,1.4,4.7
randomForest,0,0,20,0.28425,0.217583333333,1.4,6.25,22.15,1.5,1.6,6.25
0.0,0.6,0.0,20,0.8585,0.712666666667,0.15,14.9,22.15,1.5,3.8,14.9
0.1,0.6,0.1,20,0.565833333333,0.434833333333,1.85,11.55,22.15,1.5,2.8,11.55
0.2,0.6,0.2,20,0.46525,0.373416666667,2.6,9.95,22.15,1.5,2.4,9.95
uniform,0,0,30,0.2315,0.15425,1.7,7.5,27.0,1.5,1.4,7.5
randomForest,0,0,30,0.247,0.18425,0.75,6.7,27.0,1.5,1.4,6.7
0.0,0.6,0.0,30,0.880916666667,0.724416666667,0.35,23.2,27.0,1.5,4.0,23.2
0.1,0.6,0.1,30,0.518166666667,0.406916666667,2.6,15.8,27.0,1.5,2.6,15.8
0.2,0.6,0.2,30,0.34625,0.253833333333,2.2,10.6,27.0,1.5,1.8,10.6
uniform,0,0,40,0.19125,0.1335,0.9,6.7,28.2,1.5,1.8,6.7
randomForest,0,0,40,0.2275,0.18075,0.2,7.1,28.2,1.5,2.05,7.1
0.0,0.6,0.0,40,0.9185,0.814333333333,0.0,26.55,28.2,1.5,5.85,26.55
0.1,0.6,0.1,40,0.55125,0.481666666667,1.5,19.15,28.2,1.5,4.2,19.15
0.2,0.6,0.2,40,0.348083333333,0.276916666667,2.15,12.15,28.2,1.5,2.7,12.15
