algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.4435,0.378,6.1,8.95,12.85,1.3,2.0,8.95
randomForest,0,0,10,0.537,0.4705,4.8,8.95,12.85,1.3,2.0,8.95
0.0,0.6,0.0,10,0.88875,0.75025,0.15,8.95,12.85,1.3,2.0,8.95
0.1,0.6,0.1,10,0.67,0.57175,3.45,8.95,12.85,1.3,2.0,8.95
0.2,0.6,0.2,10,0.59175,0.51975,5.45,8.95,12.85,1.3,2.0,8.95
uniform,0,0,20,0.47575,0.390166666667,9.8,15.95,22.15,1.5,4.0,15.95
randomForest,0,0,20,0.5035,0.413166666667,8.7,15.95,22.15,1.5,4.0,15.95
0.0,0.6,0.0,20,0.88425,0.7315,1.0,15.95,22.15,1.5,4.0,15.95
0.1,0.6,0.1,20,0.703583333333,0.566166666667,5.05,15.95,22.15,1.5,4.0,15.95
0.2,0.6,0.2,20,0.616083333333,0.518083333333,7.0,15.95,22.15,1.5,4.0,15.95
uniform,0,0,30,0.474166666667,0.383166666667,14.8,23.2,27.0,1.5,4.0,23.2
randomForest,0,0,30,0.505666666667,0.410583333333,13.7,23.2,27.0,1.5,4.0,23.2
0.0,0.6,0.0,30,0.880916666667,0.724416666667,0.35,23.2,27.0,1.5,4.0,23.2
0.1,0.6,0.1,30,0.720333333333,0.59825,8.6,23.2,27.0,1.5,4.0,23.2
0.2,0.6,0.2,30,0.591916666667,0.491916666667,12.6,23.2,27.0,1.5,4.0,23.2
uniform,0,0,40,0.465916666667,0.395666666667,15.95,26.55,28.2,1.5,5.85,26.55
randomForest,0,0,40,0.495333333333,0.425083333333,15.7,26.55,28.2,1.5,5.85,26.55
0.0,0.6,0.0,40,0.9185,0.814333333333,0.0,26.55,28.2,1.5,5.85,26.55
0.1,0.6,0.1,40,0.73925,0.659083333333,7.25,26.55,28.2,1.5,5.85,26.55
0.2,0.6,0.2,40,0.598166666667,0.519166666667,13.4,26.55,28.2,1.5,5.85,26.55
