0,2,P,0.9997433731515535
2,6,P,1.8230818970557683E-4
0,4,P,7.352647370772807E-5
1,3,4,P,7.332842023238228E-7
1,4,6,P,4.159592478484044E-8
4,6,P,1.3407840510483683E-8
3,4,5,P,3.0128626498490717E-9
3,4,6,P,6.823698253472289E-10
4,5,6,P,2.0183291174303375E-10
