0,2,P,0.9942752304481007
2,6,P,0.0038075319789059635
0,4,P,0.0015356106623102478
1,3,4,P,3.216096004472094E-4
3,4,5,P,2.774950905657171E-5
1,4,6,P,1.824347055055886E-5
3,4,6,P,6.28486255400748E-6
4,6,P,5.88051701614638E-6
4,5,6,P,1.8589510585914435E-6
