0,2,P,0.9970929760951867
2,6,P,0.002000073642436173
0,4,P,8.066470426896278E-4
1,3,4,P,8.849216530735112E-5
1,4,6,P,5.019763743044241E-6
3,4,5,P,3.999489047974255E-6
4,6,P,1.6180477298000758E-6
3,4,6,P,9.058264382815665E-7
4,5,6,P,2.679274211446233E-7
