0,P,0.49560009303015046
3,4,P,0.30231605846361836
1,2,4,P,0.18441279565351276
2,4,8,P,0.0027242284834403372
1,4,8,P,0.002724220259367466
3,6,P,0.002360811853450471
1,4,9,P,0.002227345764930341
2,4,9,P,0.002227243138604799
1,4,5,P,0.0014400485793781158
1,2,6,P,0.001438533603044965
4,8,P,0.0011965105139030404
4,9,P,8.274612938766092E-4
2,6,P,3.6582225790174827E-4
7,P,7.966992586815115E-5
1,6,8,P,2.125638042824906E-5
1,6,9,P,1.7390856467892804E-5
6,8,P,1.1828455427970899E-5
6,9,P,8.681486628222717E-6
