24,P,0.14438613014856957
1,3,P,0.1368994424344096
1,60,P,0.034224860606362886
1,57,P,0.034224860606362886
1,53,P,0.034224860606362886
1,47,P,0.034224860606362886
0,1,P,0.03422486060622432
1,58,P,0.03422486057208559
1,50,P,0.03422486057208559
1,40,P,0.03422486057208559
1,44,P,0.03422486057201165
1,7,P,0.02028139887977317
1,56,P,0.02028139887977317
1,54,P,0.02028139887977317
1,13,P,0.02028139887977317
1,48,P,0.02028139887977316
1,49,P,0.020281398875649895
1,43,P,0.02028139887564985
1,52,P,0.014438613069186732
1,6,P,0.014438612979160178
1,2,P,0.014438612979160178
1,46,P,0.014438612944060592
1,8,P,0.014438612944060583
1,63,P,0.014438612944060583
1,61,P,0.014438612944060583
1,59,P,0.014438612944060583
16,P,0.01148997618986911
1,55,P,0.01121480232335881
1,5,P,0.01121480232335881
1,51,P,0.011214802321308287
1,11,P,0.011214802318691144
1,62,P,0.011214802316399604
1,14,P,0.009169469235707156
1,45,P,0.009169469164034702
1,10,P,0.009169469164034702
1,22,P,0.009169469083024769
1,9,P,0.007755733770773576
1,4,P,0.006719981284089623
1,26,P,0.006719981260846843
1,15,P,0.004380727734036341
1,30,P,0.004380726671759873
1,25,P,0.0040300733826546566
1,12,P,0.0040300733826546566
1,23,P,0.003731407943649828
1,64,P,0.002342461044037686
27,P,0.0016061018261655968
21,P,0.0012203990490434885
28,P,9.490573695252885E-4
31,P,6.06889019124171E-4
29,P,4.965080209519855E-4
