0,P,0.8929382573307859
31,39,P,0.017712381927022597
11,31,P,0.017712381925384955
30,P,0.0169827524931325
13,P,0.0169827524931325
29,P,0.0055649082100524385
31,32,P,0.004428095478066356
22,31,P,0.004428079928418896
31,52,P,0.0026240565769735276
31,45,P,0.002624056576973525
31,44,P,0.0018681027811867819
17,31,P,0.001450998325100702
24,P,0.0013514554450884415
16,P,0.0013514554450884415
43,P,0.0013514554450884413
26,31,P,0.0011863681737858255
63,P,8.098007404029032E-4
54,P,8.098007404029032E-4
48,P,8.098007404029032E-4
20,P,8.098007404029032E-4
31,60,P,6.862139639132869E-4
12,31,P,6.862138834396821E-4
31,49,P,5.667891527658184E-4
25,P,5.235678422006157E-4
28,P,5.235678338752489E-4
31,47,P,3.723620742872138E-4
15,P,3.5804229011963967E-4
31,50,P,3.522314134902281E-4
9,P,1.8891031821735316E-4
36,P,1.8891031821735316E-4
18,P,1.8891031821735316E-4
61,P,1.4354380833833273E-4
51,P,1.4354380833833273E-4
41,P,1.4354380833833273E-4
27,P,1.4354380833833273E-4
19,P,1.4354380833833273E-4
8,P,1.1162849500742746E-4
38,P,1.1162849500742746E-4
62,P,1.116284950074274E-4
5,P,8.852258981411087E-5
23,P,8.852258981411087E-5
59,P,5.83994655304234E-5
6,P,5.8399465530423375E-5
4,P,5.8399465530423375E-5
2,P,4.053678834918378E-5
58,P,3.429886065439353E-5
57,P,2.9278440808384613E-5
1,P,2.9278440808384613E-5
55,P,2.9278440808384596E-5
