0,P,0.6923950614287189
2,12,P,0.05005675790450608
8,P,0.035313409034422046
16,P,0.035313409034422046
3,P,0.035313408375790355
10,P,0.01489784460202621
6,P,0.014897844534577343
1,12,P,0.012514189476482208
12,17,P,0.012514189474385096
12,15,P,0.012514189474385096
2,7,P,0.012514189452361414
2,11,P,0.012514189452361414
9,P,0.008237912146351693
5,P,0.008237912146351693
2,13,P,0.007415815979604798
12,14,P,0.007415815979595027
2,4,P,0.0041006494558353986
7,15,P,0.003128547369401435
11,17,P,0.003128547369401435
7,17,P,0.0031285473694013257
11,15,P,0.0031285473694001305
11,14,P,0.001853953996469509
7,14,P,0.0018539539964695041
1,13,P,0.0018539539964695035
13,17,P,0.0018539535571342784
13,15,P,0.0018539531239301214
4,15,P,0.0010246269498736672
4,17,P,0.0010246269498725797
