1,P,0.7725158086533976
0,67,P,0.08497673959773734
38,67,P,0.015323674354050071
3,67,P,0.015323674340707808
59,P,0.011411957397634807
67,72,P,0.0038309185884968055
67,102,P,0.0038309185884966225
44,67,P,0.003830918585720666
25,67,P,0.003830918585720666
4,67,P,0.0038309185857121645
27,67,P,0.0038309185857121645
8,67,P,0.0038309185828673655
67,74,P,0.002270173978323369
67,68,P,0.0022701739779523162
67,93,P,0.002270173977952311
67,69,P,0.002270173977952311
67,85,P,0.002270173977952308
32,67,P,0.00227017396909001
33,67,P,0.0022701739660178407
29,67,P,0.0022701739660178407
22,67,P,0.0022701739660178407
67,91,P,0.0016161687795297832
67,79,P,0.0016161687795297832
17,67,P,0.0016161687795238399
14,67,P,0.0016161687794647448
13,67,P,0.001616168779364037
67,98,P,0.0012553154030841213
67,88,P,0.0012553154030827596
67,78,P,0.0012553154030653625
67,81,P,0.0012553154029201446
67,71,P,0.0012553154029149181
67,70,P,0.0012553154029149181
67,92,P,0.0012553154028493128
67,99,P,0.0012553154027745183
15,67,P,0.0012364220655631452
12,67,P,0.0012364220655627562
20,67,P,0.0012364220655620975
54,67,P,0.001026373507295238
67,87,P,0.0010263735072802767
67,73,P,0.0010263735072788302
67,101,P,0.001026373507273602
7,67,P,0.0010263735071768725
11,67,P,0.0010263735071768725
67,75,P,8.681287444077427E-4
67,94,P,8.681287444077265E-4
67,86,P,8.681287444077265E-4
67,76,P,8.681287444077265E-4
24,67,P,8.68128743724136E-4
67,90,P,8.681287427923374E-4
67,97,P,8.681287403635054E-4
67,96,P,7.521930182148224E-4
67,89,P,7.521930182148224E-4
67,84,P,7.521930182148224E-4
67,80,P,7.521930182148224E-4
67,77,P,7.521930181297133E-4
10,67,P,7.521734509269077E-4
26,67,P,7.52173450925654E-4
67,95,P,6.635905994185991E-4
67,83,P,6.635905994185991E-4
46,67,P,6.635905991210381E-4
2,67,P,6.635905985425846E-4
16,67,P,6.635905966347758E-4
40,67,P,5.936705411515985E-4
28,67,P,5.936705411270851E-4
9,67,P,5.936705411098704E-4
6,67,P,5.936705410583514E-4
37,67,P,5.93670540919046E-4
67,82,P,5.370854378729216E-4
42,67,P,5.370854378020186E-4
18,67,P,4.903514888762954E-4
36,67,P,4.903514888524829E-4
41,67,P,4.903514869458765E-4
43,67,P,4.5110151500546994E-4
21,67,P,4.511015135599495E-4
19,67,P,4.1767065553012544E-4
31,67,P,3.888539595064048E-4
5,67,P,3.888539587267582E-4
47,67,P,3.8885395816608503E-4
35,67,P,3.6375758874112327E-4
45,67,P,3.4170471485321126E-4
34,67,P,3.2217322392687843E-4
56,P,2.876587769880931E-4
51,P,2.876587769880931E-4
30,67,P,2.750157094824347E-4
23,67,P,2.622219939423565E-4
39,67,P,2.5056531037928874E-4
57,P,6.710502832512915E-5
50,P,4.561725747809504E-5
100,P,4.561725747809504E-5
