1,37,P,0.2918582916823783
0,1,P,0.29185829165539384
1,28,P,0.2912803544711261
1,41,P,0.04323826542499563
1,45,P,0.02390903118423148
1,25,P,0.01954855022811944
1,44,P,0.01572621333280296
1,29,P,0.012638901985449803
11,P,0.0024253147705162697
33,P,9.395920564601011E-4
1,9,P,7.224215139789272E-4
1,40,P,7.224215139789272E-4
1,30,P,7.224215137747689E-4
1,34,P,7.224215134634032E-4
43,P,4.5879088885098006E-4
20,P,4.5879088885098006E-4
1,2,P,4.2810163718028283E-4
1,27,P,3.0477157622997927E-4
1,48,P,3.047715762293295E-4
1,46,P,3.047715735901491E-4
1,21,P,3.047715735901486E-4
1,18,P,2.367230817113059E-4
1,13,P,2.3672308103198713E-4
1,4,P,1.4184598467819985E-4
1,19,P,1.1195235813542304E-4
35,P,9.887875984792725E-5
31,P,9.887875984792725E-5
1,24,P,7.876290745418607E-5
36,P,4.4704301549060425E-5
39,P,2.4013017529864057E-5
32,P,2.4013017529864057E-5
47,P,1.4388753580936034E-5
12,P,9.302891587170416E-6
38,P,2.5505243243192964E-6
