0,P,0.77
10,P,0.08
5,6,P,0.07
8,6,P,0.01
7,6,P,0.01
4,6,2,P,0.01
11,6,3,P,0.01
11,6,2,P,0.01
11,6,12,P,0.01
1,6,3,P,0.01
1,6,12,P,0.01
1,6,2,P,0.0
