0,P,0.76
9,P,0.08
16,10,P,0.05
1,10,P,0.04
14,P,0.03
6,10,P,0.01
18,10,8,P,0.01
18,10,5,P,0.01
18,10,2,P,0.01
13,10,P,0.01
18,10,12,P,0.0
