0,1,3,4,5,6,8,10,12,13,16,17,18,19,2,7,9,14,15,11,error,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,
0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,
1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,
0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,
0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
