algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.60475,0.4155,5.6,9.8,10.0,1.9,1.95,9.8
randomForest,0,0,10,0.6765,0.4795,4.85,9.8,10.0,1.9,1.95,9.8
0.0,0.6,0.0,10,0.9455,0.577416666667,0.8,9.8,10.0,1.9,1.95,9.8
0.1,0.6,0.1,10,0.806,0.53275,3.15,9.8,10.0,1.9,1.95,9.8
0.2,0.6,0.2,10,0.751,0.5255,4.6,9.8,10.0,1.9,1.95,9.8
uniform,0,0,20,0.591,0.377633333333,11.8,19.7,19.4,2.75,4.0,19.7
randomForest,0,0,20,0.645416666667,0.443058333333,11.3,19.7,19.4,2.75,4.0,19.7
0.0,0.6,0.0,20,0.931583333333,0.606858333333,2.3,19.7,19.4,2.75,4.0,19.7
0.1,0.6,0.1,20,0.776083333333,0.514233333333,7.95,19.7,19.4,2.75,4.0,19.7
0.2,0.6,0.2,20,0.734083333333,0.5106,11.65,19.7,19.4,2.75,4.0,19.7
uniform,0,0,30,0.566916666667,0.346225,17.3,28.7,25.4,3.05,4.0,28.7
randomForest,0,0,30,0.6125,0.39395,13.8,28.7,25.4,3.05,4.0,28.7
0.0,0.6,0.0,30,0.919583333333,0.553508333333,3.7,28.7,25.4,3.05,4.0,28.7
0.1,0.6,0.1,30,0.74375,0.450916666667,12.85,28.7,25.4,3.05,4.0,28.7
0.2,0.6,0.2,30,0.693333333333,0.457183333333,16.4,28.7,25.4,3.05,4.0,28.7
uniform,0,0,40,0.556916666667,0.347116666667,19.3,32.25,27.2,3.05,5.95,32.25
randomForest,0,0,40,0.621833333333,0.428433333333,13.55,32.25,27.2,3.05,5.95,32.25
0.0,0.6,0.0,40,0.92975,0.618133333333,3.65,32.25,27.2,3.05,5.95,32.25
0.1,0.6,0.1,40,0.7585,0.50145,13.2,32.25,27.2,3.05,5.95,32.25
0.2,0.6,0.2,40,0.704875,0.475866666667,18.45,32.25,27.2,3.05,5.95,32.25
