algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.16925,0.16925,4.0,4.9,10.0,1.9,0.9,4.9
randomForest,0,0,10,0.187,0.1865,3.6,4.4,10.0,1.9,0.8,4.4
0.0,0.6,0.0,10,0.05,0.023,0.2,0.3,10.0,1.9,0.1,0.3
0.1,0.6,0.1,10,0.21575,0.1365,2.0,2.5,10.0,1.9,0.5,2.5
0.2,0.6,0.2,10,0.284,0.2075,3.35,4.15,10.0,1.9,0.8,4.15
uniform,0,0,20,0.307166666667,0.247225,9.9,12.3,19.4,2.75,2.4,12.3
randomForest,0,0,20,0.275916666667,0.2051,9.05,11.25,19.4,2.75,2.2,11.25
0.0,0.6,0.0,20,0.0985,0.035,1.65,2.05,19.4,2.75,0.4,2.05
0.1,0.6,0.1,20,0.246916666667,0.138191666667,5.85,7.25,19.4,2.75,1.4,7.25
0.2,0.6,0.2,20,0.372,0.221183333333,8.65,10.85,19.4,2.75,2.2,10.85
uniform,0,0,30,0.294583333333,0.221583333333,14.65,17.05,25.4,3.05,2.4,17.05
randomForest,0,0,30,0.196583333333,0.132416666667,10.8,12.6,25.4,3.05,1.8,12.6
0.0,0.6,0.0,30,0.049,0.0188333333333,0.8,1.0,25.4,3.05,0.2,1.0
0.1,0.6,0.1,30,0.205083333333,0.116833333333,8.45,9.85,25.4,3.05,1.4,9.85
0.2,0.6,0.2,30,0.286916666667,0.14535,12.15,14.15,25.4,3.05,2.0,14.15
uniform,0,0,40,0.324416666667,0.233466666667,17.35,21.25,27.2,3.05,3.9,21.25
randomForest,0,0,40,0.198333333333,0.1211,11.35,14.05,27.2,3.05,2.7,14.05
0.0,0.6,0.0,40,0.048,0.0179166666667,0.7,1.0,27.2,3.05,0.3,1.0
0.1,0.6,0.1,40,0.259666666667,0.151916666667,10.6,12.95,27.2,3.05,2.35,12.95
0.2,0.6,0.2,40,0.370833333333,0.194866666667,15.35,18.9,27.2,3.05,3.55,18.9
