algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.617534068883,0.483399215048,0.915416666667,0.75,9.95,15.95,1.55
randomForest,0,0,10,0.724760962434,0.595466190253,0.811006944444,1.3,9.95,15.95,1.55
0.0,0.6,0.0,10,0.985326394449,0.786376615846,0.979166666667,0.25,9.95,15.95,1.55
0.1,0.6,0.1,10,0.872411399662,0.700001771744,0.979166666667,0.25,9.95,15.95,1.55
0.2,0.6,0.2,10,0.776480094058,0.6248986488,0.966666666667,0.3,9.95,15.95,1.55
uniform,0,0,20,0.632450152935,0.376168416578,0.709008657186,9.45,20.5,34.6,2.3
randomForest,0,0,20,0.712930867972,0.452930350707,0.661608765411,9.7,20.5,34.6,2.3
0.0,0.6,0.0,20,0.977732560991,0.571827370373,0.769961038138,9.1,20.5,34.6,2.3
0.1,0.6,0.1,20,0.845374291785,0.517384714714,0.757461038138,9.1,20.5,34.6,2.3
0.2,0.6,0.2,20,0.742318587323,0.464902071807,0.744961038138,9.1,20.5,34.6,2.3
uniform,0,0,30,0.62554987342,0.337666379772,0.586383556271,20.45,30.85,52.8,2.7
randomForest,0,0,30,0.775923288067,0.430453486861,0.564984600856,20.95,30.85,52.8,2.7
0.0,0.6,0.0,30,0.945731319574,0.500166046749,0.630371651509,20.2,30.85,52.8,2.7
0.1,0.6,0.1,30,0.811346509937,0.443209863331,0.619954984842,20.2,30.85,52.8,2.7
0.2,0.6,0.2,30,0.694172571717,0.388583053106,0.607454984842,20.2,30.85,52.8,2.7
uniform,0,0,40,0.673945042776,0.377616118747,0.613428114864,15.25,37.85,57.6,2.7
randomForest,0,0,40,0.827105156032,0.476612317926,0.605407135639,15.7,37.85,57.6,2.7
0.0,0.6,0.0,40,0.977932638648,0.532376967853,0.660169186292,15.0,37.85,57.6,2.7
0.1,0.6,0.1,40,0.852461315909,0.481242197094,0.649752519626,15.0,37.85,57.6,2.7
0.2,0.6,0.2,40,0.740738246041,0.430268105355,0.637252519626,15.0,37.85,57.6,2.7
