algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.491,0.376416666667,6.75,8.45,15.95,1.55,1.7,8.45
randomForest,0,0,10,0.38525,0.29075,4.9,6.1,15.95,1.55,1.2,6.1
0.0,0.6,0.0,10,0.0495,0.0215,0.45,0.55,15.95,1.55,0.1,0.55
0.1,0.6,0.1,10,0.066,0.0413333333333,0.75,0.95,15.95,1.55,0.2,0.95
0.2,0.6,0.2,10,0.2795,0.200083333333,3.2,4.0,15.95,1.55,0.8,4.0
uniform,0,0,20,0.466916666667,0.264291666667,14.1,17.45,34.6,2.3,3.35,17.45
randomForest,0,0,20,0.377166666667,0.2365,10.85,13.45,34.6,2.3,2.6,13.45
0.0,0.6,0.0,20,0.04875,0.01625,0.85,1.05,34.6,2.3,0.2,1.05
0.1,0.6,0.1,20,0.163833333333,0.075875,4.1,5.05,34.6,2.3,0.95,5.05
0.2,0.6,0.2,20,0.46675,0.249791666667,12.35,15.3,34.6,2.3,2.95,15.3
uniform,0,0,30,0.372083333333,0.188708333333,21.6,24.8,52.8,2.7,3.2,24.8
randomForest,0,0,30,0.17925,0.100166666667,9.35,10.75,52.8,2.7,1.4,10.75
0.0,0.6,0.0,30,0.049,0.02075,1.35,1.55,52.8,2.7,0.2,1.55
0.1,0.6,0.1,30,0.144416666667,0.07225,6.65,7.65,52.8,2.7,1.0,7.65
0.2,0.6,0.2,30,0.393083333333,0.207875,20.15,23.15,52.8,2.7,3.0,23.15
uniform,0,0,40,0.376916666667,0.194916666667,22.5,26.7,57.6,2.7,4.2,26.7
randomForest,0,0,40,0.138833333333,0.0616666666667,7.4,8.9,57.6,2.7,1.5,8.9
0.0,0.6,0.0,40,0.0845,0.038,3.15,3.7,57.6,2.7,0.55,3.7
0.1,0.6,0.1,40,0.14525,0.0705416666667,7.65,9.1,57.6,2.7,1.45,9.1
0.2,0.6,0.2,40,0.392583333333,0.21075,22.45,26.6,57.6,2.7,4.15,26.6
