0,1,P,0.26
1,28,P,0.09
1,30,P,0.04
0,79,P,0.04
0,76,P,0.04
0,52,5,P,0.04
0,52,42,P,0.04
0,27,P,0.04
0,13,P,0.04
1,97,P,0.02
79,28,P,0.01
76,28,P,0.01
52,5,28,P,0.01
52,42,28,P,0.01
27,28,P,0.01
13,28,P,0.01
0,52,91,P,0.01
0,52,9,P,0.01
0,52,72,P,0.01
0,52,57,P,0.01
0,52,56,P,0.01
0,52,49,P,0.01
0,52,48,P,0.01
0,52,47,P,0.01
0,52,44,P,0.01
0,52,43,P,0.01
0,52,4,P,0.01
0,52,10,P,0.0
