0,1,P,0.8
19,P,0.02
18,P,0.02
1,28,P,0.02
0,21,25,P,0.02
0,20,22,P,0.02
0,17,P,0.02
0,14,P,0.02
1,8,P,0.01
0,21,24,P,0.01
0,20,25,P,0.01
0,20,27,P,0.0
