0,P,0.49
6,8,P,0.07
6,1,P,0.07
4,5,P,0.07
4,1,P,0.07
7,P,0.06
6,2,P,0.06
5,9,P,0.06
5,6,P,0.03
8,3,9,P,0.01
8,1,9,P,0.01
6,11,P,0.01
4,8,3,P,0.01
10,1,9,P,0.0
