0,P,0.9971514412664322
122,P,3.5877629656108796E-4
42,P,3.5877628902710617E-4
36,151,P,1.6346745063418376E-4
36,106,P,1.6346745063409654E-4
36,105,P,1.6346745063193898E-4
3,36,P,1.634674505722596E-4
150,P,1.371983017855221E-4
51,P,1.3719825109153927E-4
18,P,6.385447278231699E-5
121,P,6.385447278231699E-5
36,130,P,4.086686265838271E-5
36,114,P,4.0866862657537057E-5
36,131,P,4.0866862657536996E-5
36,111,P,4.0866862657120554E-5
36,140,P,4.08668626570969E-5
36,40,P,4.086686265513554E-5
36,141,P,4.08668626320904E-5
36,113,P,4.08668626320904E-5
15,36,P,4.086686260316211E-5
16,36,P,4.086584012107078E-5
20,P,3.375504492224238E-5
110,P,3.375504492224238E-5
36,125,P,2.4217400093376248E-5
36,95,P,2.4217400093376217E-5
36,119,P,2.4217400093049103E-5
36,118,P,2.4217400093049103E-5
36,132,P,2.4217400090186894E-5
145,P,1.952444762469858E-5
98,P,1.952444762469857E-5
108,P,1.952444762469857E-5
36,49,P,1.724070768407651E-5
36,147,P,1.724070768407651E-5
36,133,P,1.724070768407651E-5
25,36,P,1.724070768382477E-5
36,112,P,1.7240707676131865E-5
36,149,P,1.724070761162065E-5
36,137,P,1.7240707483738763E-5
35,36,P,1.723803628681083E-5
36,153,P,1.3391253551875689E-5
36,88,P,1.339125347231074E-5
21,36,P,1.318970622156923E-5
87,P,1.2079194944229054E-5
116,P,1.2079194944229054E-5
109,P,1.2079194944229054E-5
12,36,P,1.09489836940921E-5
36,123,P,1.094898359145371E-5
36,154,P,9.2608854385749E-6
36,124,P,9.2608854385749E-6
36,58,P,9.260885437251095E-6
36,127,P,9.2608854112248E-6
36,83,P,9.260885366400092E-6
36,89,P,8.02412476483388E-6
85,P,7.874375568651053E-6
157,P,7.874375568651053E-6
136,P,7.874375568651053E-6
34,P,7.874375568651051E-6
36,163,P,7.078945813071709E-6
36,57,P,6.333063961183019E-6
8,36,P,6.333063900447076E-6
9,36,P,5.729434338904516E-6
84,P,5.352913585759741E-6
19,P,5.352913585759741E-6
115,P,5.352913585759741E-6
90,P,5.352913585759737E-6
14,36,P,4.812184547208915E-6
1,36,P,4.455560754416476E-6
13,36,P,4.148154306145348E-6
36,43,P,4.148154214024546E-6
96,P,3.7659860822010036E-6
107,P,3.7659860822010036E-6
36,37,P,3.6451814642814453E-6
93,P,2.7266029844470895E-6
86,P,2.7266029844470895E-6
152,P,2.7266029844470895E-6
82,P,2.0226767620201745E-6
29,P,2.0226729044363974E-6
27,P,1.5321564382157677E-6
17,P,1.5321564382157677E-6
41,P,1.1818399393620574E-6
47,P,9.262360720128448E-7
46,P,7.361876792078931E-7
45,P,7.361876792078931E-7
26,P,4.822555623215507E-7
11,P,3.9650378097917E-7
44,P,3.290009275725333E-7
162,P,3.290009275725333E-7
30,P,2.7527317656232255E-7
55,P,2.3208993179149948E-7
33,P,2.3208993179149948E-7
52,P,1.9705432100071324E-7
28,P,1.9705432100071324E-7
7,P,1.6838510855704204E-7
