0,P,0.5056575716288273
50,158,P,0.09510169532996358
5,50,P,0.09510169532113831
50,167,P,0.02377542380600688
50,207,P,0.023775422434406102
50,157,P,0.023775422434406102
4,50,P,0.014089140048698032
50,230,P,0.014089140048670117
50,177,P,0.014089139888493463
50,51,P,0.014089139888493455
50,142,P,0.014089139888493455
32,50,P,0.010030256929280376
44,50,P,0.010030256929279339
50,205,P,0.010030256915794462
50,168,P,0.007790730867529469
100,P,0.007256263133909429
50,211,P,0.0046682557383376545
98,P,0.004347999247591625
220,P,0.004347999247591625
219,P,0.004347999247591625
188,P,0.004347999247591625
50,169,P,0.0036844345277821503
50,203,P,0.003684434521813354
50,128,P,0.00368443451261403
50,105,P,0.0033332564042183534
50,170,P,0.0033332563685272683
50,206,P,0.0030432162844334105
50,189,P,0.0030432158532549985
223,P,0.002811151522063101
202,P,0.002811151522063101
191,P,0.002811151522063101
11,P,0.002811151522063101
50,101,P,0.0027996231766064515
50,229,P,0.002799622860168437
50,127,P,0.0027996226651622897
50,129,P,0.002592140186514967
50,227,P,0.0025921396413102126
50,171,P,0.0024132820799318004
50,209,P,0.0024132753516969696
50,92,P,0.0024132743352508804
99,P,0.0019224082300438883
91,P,0.0019224082300438883
224,P,0.0019224082300438883
210,P,0.0019224082300438883
26,50,P,0.0018913531005722054
7,50,P,0.0018913342896308282
8,50,P,0.001706789612988069
13,50,P,0.001488728563474544
221,P,0.0013726496261078096
122,P,0.0013726496261078096
110,P,0.0013726496261078096
58,P,0.001014301272511409
54,P,0.001014301272511409
176,P,0.001014301272511409
121,P,0.001014301272511409
86,P,7.707184490112741E-4
159,P,7.707184490112741E-4
109,P,7.707184490112741E-4
185,P,5.993580742598441E-4
108,P,5.993580742598441E-4
190,P,5.99358074259844E-4
111,P,5.99358074259844E-4
87,P,4.7529735983584955E-4
198,P,4.7529735983584955E-4
120,P,4.7529735983584955E-4
103,P,4.7529735983584955E-4
41,P,3.8326854147252516E-4
143,P,3.135596443881982E-4
194,P,3.1355964438819817E-4
107,P,3.1355964438819817E-4
104,P,3.1355964438819817E-4
1,P,3.1355964438819817E-4
88,P,2.5979040706404234E-4
49,P,2.5979040706404234E-4
46,P,2.5979040706404234E-4
42,P,2.5979040706404234E-4
234,P,2.5979040706404234E-4
193,P,2.5979040706404234E-4
123,P,2.5979040706404234E-4
53,P,2.1765098060337625E-4
196,P,2.1765098060337625E-4
186,P,2.1765098060337625E-4
97,P,1.8415816740838636E-4
233,P,1.8415816740838636E-4
144,P,1.8415816740838636E-4
165,P,1.841581674083863E-4
106,P,1.841581674083863E-4
28,P,1.5720242308271397E-4
102,P,1.5720242308271397E-4
59,P,1.5720242308271389E-4
45,P,1.5720242308271389E-4
204,P,1.5720242308271389E-4
139,P,1.352628139556582E-4
93,P,1.3526281395565814E-4
208,P,1.3526281395565814E-4
134,P,1.3526281395565814E-4
116,P,1.3526281395565814E-4
77,P,1.1722466365815647E-4
20,P,1.1722466365815647E-4
136,P,1.1722466365815647E-4
117,P,1.1722466365815647E-4
164,P,1.0225732194400113E-4
119,P,1.0225732194400113E-4
222,P,8.973420268380532E-5
195,P,8.973420268380532E-5
94,P,8.97342026838053E-5
76,P,8.97342026838053E-5
31,P,8.97342026838053E-5
192,P,8.97342026838053E-5
10,P,8.97342026838053E-5
35,P,7.91758095663691E-5
34,P,7.91758095663691E-5
22,P,7.91758095663691E-5
201,P,7.91758095663691E-5
141,P,7.91758095663691E-5
137,P,7.91758095663691E-5
133,P,7.91758095663691E-5
75,P,7.021127246909446E-5
48,P,7.021127246909446E-5
47,P,7.021127246909446E-5
30,P,7.021127246909446E-5
21,P,7.021127246909446E-5
187,P,7.021127246909446E-5
140,P,7.021127246909446E-5
135,P,7.021127246909446E-5
56,P,6.255094167012202E-5
29,P,6.255094167012202E-5
138,P,6.255094167012202E-5
6,P,5.596595495074551E-5
40,P,5.596595495074551E-5
78,P,5.5965954950745504E-5
55,P,5.5965954950745504E-5
183,P,5.5965954950745504E-5
19,P,5.027388034924197E-5
14,P,5.027388034924197E-5
115,P,5.027388034924197E-5
