0,P,0.32
171,178,P,0.15
171,148,P,0.11
57,171,P,0.05
170,178,P,0.05
171,186,P,0.03
168,P,0.03
86,178,P,0.02
81,171,P,0.02
171,58,P,0.02
171,192,P,0.02
145,178,P,0.02
123,171,P,0.02
55,P,0.01
47,171,P,0.01
183,P,0.01
171,61,P,0.01
133,178,P,0.01
133,148,P,0.01
1,P,0.0
