0,1,P,0.09
0,9,8,P,0.07
120,P,0.06
24,P,0.04
0,88,P,0.04
1,23,P,0.03
42,P,0.02
23,9,8,P,0.02
20,P,0.02
18,P,0.02
1,41,P,0.02
1,11,P,0.02
0,9,86,P,0.02
0,9,44,P,0.02
0,7,8,P,0.02
0,6,P,0.02
0,49,P,0.02
0,47,P,0.02
0,46,P,0.02
0,13,P,0.02
88,41,P,0.01
88,23,P,0.01
88,11,P,0.01
46,41,P,0.01
46,23,P,0.01
46,11,P,0.01
41,9,8,P,0.01
22,9,8,P,0.01
11,9,8,P,0.01
10,9,8,P,0.01
1,22,P,0.01
1,10,P,0.01
0,9,34,P,0.01
0,87,9,P,0.01
0,68,P,0.01
0,67,P,0.01
0,66,P,0.01
0,45,P,0.01
0,43,P,0.01
0,31,P,0.01
0,3,P,0.01
0,16,P,0.01
0,15,P,0.01
0,121,8,P,0.01
0,12,P,0.01
0,116,P,0.01
0,100,P,0.0
