0,1,P,0.47
11,P,0.38
1,14,P,0.03
0,7,8,P,0.03
0,3,P,0.02
0,16,P,0.02
13,P,0.01
0,7,9,P,0.01
0,10,5,P,0.01
0,10,20,P,0.01
0,10,18,P,0.0
