0,P,0.24
1,11,P,0.21
3,11,12,P,0.13
4,11,12,P,0.12
4,8,12,P,0.06
1,8,P,0.06
3,8,12,P,0.05
9,11,12,P,0.03
4,9,11,P,0.03
10,11,12,P,0.03
5,P,0.02
9,11,P,0.01
1,7,P,0.0
