0,1,2,P,0.89
1,2,5,P,0.01
1,2,15,P,0.01
1,2,14,P,0.01
0,9,2,P,0.01
0,12,2,P,0.01
0,10,2,P,0.01
0,1,13,P,0.01
0,1,11,P,0.0
