0,P,0.78
8,6,P,0.04
8,2,1,P,0.04
8,13,1,P,0.02
7,P,0.02
8,9,1,P,0.01
8,12,1,P,0.01
8,11,1,P,0.01
8,10,3,1,P,0.01
5,6,P,0.01
5,2,1,P,0.01
17,6,P,0.01
17,2,1,P,0.01
17,13,1,P,0.01
17,11,1,P,0.0
