2,5,P,0.14
0,2,35,P,0.14
0,2,30,P,0.14
0,2,32,P,0.12
0,27,35,P,0.08
0,26,35,P,0.08
0,25,35,P,0.08
27,5,P,0.04
26,5,P,0.04
25,5,P,0.04
7,5,P,0.02
36,5,P,0.01
20,P,0.01
2,4,P,0.01
18,P,0.01
17,P,0.01
0,2,33,P,0.01
0,10,33,P,0.0
