4,2,P,0.3
13,2,P,0.14
0,4,3,P,0.08
0,13,P,0.08
4,1,3,P,0.04
16,2,P,0.04
13,1,P,0.04
14,2,P,0.03
4,25,3,P,0.02
4,24,3,P,0.02
19,2,P,0.02
15,2,P,0.02
0,4,22,P,0.02
0,4,20,P,0.02
0,14,3,P,0.02
4,7,3,P,0.01
4,1,22,P,0.01
4,1,20,P,0.01
18,2,P,0.01
13,25,P,0.01
13,24,P,0.01
0,4,21,P,0.01
0,19,3,P,0.01
0,14,20,P,0.0
