0,1,P,0.58
0,13,P,0.1
0,12,P,0.09
1,6,7,P,0.06
0,11,P,0.06
1,6,8,P,0.04
13,6,8,P,0.01
13,6,7,P,0.01
12,6,8,P,0.01
11,6,8,P,0.01
11,6,7,P,0.01
0,17,P,0.01
1,10,6,P,0.0
