4,2,P,0.38
0,4,3,P,0.28
14,2,P,0.08
4,1,3,P,0.06
0,14,P,0.04
14,1,P,0.02
4,26,3,P,0.01
4,25,3,P,0.01
20,2,P,0.01
19,2,P,0.01
17,2,P,0.01
16,2,P,0.01
15,2,P,0.01
0,4,23,P,0.01
0,4,21,P,0.01
0,20,3,P,0.01
0,15,3,P,0.01
0,15,21,P,0.0
