2,3,P,0.12717996296572662
2,54,P,0.07536590841034872
2,51,P,0.07536590839502663
2,45,P,0.07536590839502663
2,22,P,0.07402275359194695
2,49,P,0.053654050028572924
2,48,P,0.053654050028572924
2,58,P,0.0536540500285719
2,64,P,0.053654049563602736
1,P,0.053122821781025356
2,57,P,0.04167433271141197
2,42,P,0.041674332689385155
2,70,P,0.03407385181977364
2,41,P,0.034073851743869406
2,59,P,0.03407385174376288
2,32,P,0.022030076033107672
2,35,P,0.02203007568927409
12,P,0.017407286236189073
11,P,0.017407286236189073
2,6,P,0.005036830512423463
23,P,0.004227414000410265
10,P,0.004227414000410265
19,P,0.0025330935188470007
20,P,0.0016377440048958665
2,56,P,0.0012592076267623324
2,55,P,0.0012592076267623324
2,50,P,0.0012592076267623324
2,5,P,0.0012592076267623324
2,87,P,0.0012592075866995677
73,P,0.0011199725553769633
72,P,7.99689621259112E-4
2,21,P,7.461971129737497E-4
2,71,P,7.461971128220464E-4
2,46,P,7.461971128220464E-4
2,65,P,7.46197112822046E-4
2,24,P,7.461971116176722E-4
2,76,P,7.461971116176714E-4
2,17,P,7.461971044903822E-4
2,14,P,5.312282181085822E-4
2,16,P,5.312282181056201E-4
2,47,P,5.312282181046724E-4
2,85,P,5.312282181022416E-4
2,33,P,5.312282135010172E-4
2,67,P,4.126171555585345E-4
2,66,P,4.1261715554740785E-4
2,34,P,4.1261715554740785E-4
2,78,P,4.126171553404471E-4
2,60,P,4.126171553404471E-4
2,29,P,4.1261715438132017E-4
2,86,P,4.1261714765291425E-4
2,62,P,3.3736486950270935E-4
2,26,P,3.373648694452724E-4
2,52,P,3.373648687512564E-4
2,39,P,3.373648687512564E-4
2,69,P,3.373648687511823E-4
2,36,P,2.966914051544283E-4
2,63,P,2.853504482571786E-4
2,43,P,2.4724283877491606E-4
2,68,P,2.472428249607661E-4
2,61,P,2.472428249607661E-4
2,53,P,2.472428249607661E-4
2,40,P,1.9512434271377129E-4
2,44,P,1.6117657402211846E-4
2,38,P,9.03950988418905E-5
2,37,P,8.618804488729883E-5
2,31,P,7.883308405238338E-5
