24,P,0.36908281174661445
0,17,P,0.22514051688156553
3,17,P,0.2251405167965754
26,P,0.030235262016875052
17,49,P,0.019376847764310798
17,18,P,0.01937684776394422
17,51,P,0.01937684776394413
17,52,P,0.019376847728270752
17,50,P,0.011482576452717474
17,19,P,0.011482576452562496
8,17,P,0.008173341019051409
17,20,P,0.006349405475352403
17,55,P,0.006349405475351502
13,17,P,0.005191413688593288
16,17,P,0.0051914136885930625
12,17,P,0.004391009136339466
17,54,P,0.0038046043708254208
7,17,P,0.003356451912073152
6,17,P,0.003002795117533608
17,25,P,0.002716586772076204
17,56,P,0.001391033433600974
28,P,1.0888543229158284E-5
