0,1,P,0.65
1,7,P,0.07
0,4,3,P,0.04
0,24,P,0.04
0,22,P,0.04
0,2,P,0.04
8,P,0.01
1,6,P,0.01
0,4,27,P,0.01
0,4,26,P,0.01
0,4,25,P,0.01
0,4,23,P,0.01
0,21,3,P,0.01
0,19,3,P,0.01
0,18,3,P,0.01
0,11,3,P,0.01
0,10,3,P,0.0
