0,P,0.9945547624672849
8,P,0.00534255253231716
2,5,P,9.661734188817521E-5
2,3,7,P,3.864693665324131E-6
2,3,6,P,1.6304176399279608E-6
1,2,7,P,5.725472047799247E-7
