0,P,0.9931378222488787
2,P,0.0017171312332139646
26,P,0.0017171312277044293
59,P,5.626695623373733E-4
52,P,5.626695623373733E-4
58,P,2.5438981211791425E-4
28,P,2.5438981211791425E-4
18,P,2.5438981211791425E-4
1,54,P,1.628094799881505E-4
1,14,P,1.628094799881505E-4
1,34,P,1.6280947998577783E-4
56,P,1.3664606774143166E-4
12,P,1.3664606608723614E-4
6,P,8.187919773619178E-5
30,P,8.187919771061778E-5
37,P,8.187919715171605E-5
10,P,8.187919715171605E-5
42,P,5.293810246766857E-5
29,P,5.293810246766857E-5
65,P,3.6201763963283207E-5
46,P,3.6201763963283207E-5
39,P,3.6201763963283207E-5
38,P,3.6201763963283207E-5
36,P,3.6201763963283207E-5
22,P,2.5849003865068455E-5
3,P,2.584900386506845E-5
1,68,P,2.4119922960850363E-5
17,P,1.91007792628299E-5
24,P,1.9100778835899233E-5
49,P,1.4513757763415783E-5
13,P,1.4513757763415783E-5
4,P,1.1286790804754039E-5
21,P,8.950545760385288E-6
