1,P,0.994304123101062
30,P,0.0020531781995323265
26,P,8.064692279573479E-4
9,P,8.064691939425031E-4
44,P,8.064691939425031E-4
29,P,4.789653306558327E-4
24,P,2.1606793574440643E-4
6,33,P,9.844595353284486E-5
6,32,P,9.844595353146644E-5
6,31,P,9.844595353146524E-5
28,P,8.262573123859767E-5
4,P,3.8455450525487675E-5
6,45,P,2.4611488383159674E-5
6,42,P,2.4611488382596265E-5
23,P,2.0328497025072543E-5
27,P,2.0328497025072536E-5
6,34,P,1.45845856995574E-5
6,15,P,2.0697811623465357E-6
6,13,P,1.9578715166896664E-6
6,35,P,1.857445942835577E-6
16,P,2.9043157212682113E-7
18,P,2.9043157212682103E-7
21,P,2.387887781110266E-7
12,P,1.9813614210293442E-7
20,P,1.657793661279388E-7
22,P,1.6577936612793876E-7
3,P,1.397728694730281E-7
