1,13,P,0.2795271747289988
1,36,P,0.06988179354954048
0,1,P,0.06988179332970035
5,P,0.06135027151147324
1,9,P,0.04141143325829515
1,6,P,0.04141143325829515
1,56,P,0.04141143325829515
1,20,P,0.04141143325829515
1,14,P,0.04141143325829515
18,P,0.031093644775681713
1,12,P,0.029481381642932736
1,11,P,0.029481381642932736
1,10,P,0.029481381642932736
1,8,P,0.02289886529231531
4,P,0.018758751155302813
1,35,P,0.018722616994836686
1,19,P,0.018722616994836686
1,31,P,0.015835990777860697
27,P,0.015182632104169595
22,P,0.015182632104169595
1,7,P,0.01372113807046886
3,P,0.01053270651319186
1,25,P,0.00979590905118723
17,P,0.008971529229566014
15,P,0.008971529229566014
21,P,0.007733546683430191
16,P,0.007733546683430191
