0,P,0.9952450342781018
1,41,P,0.001474437098236184
1,38,P,0.0010496725049943013
1,27,P,6.666111016324653E-4
1,20,P,3.4882731565833504E-4
1,26,P,3.488273156531819E-4
34,P,2.162723965480573E-4
13,P,1.660047973391224E-4
1,2,P,9.853911278337387E-5
5,P,8.270388950794772E-5
3,P,3.8491840964164227E-5
21,P,3.849184096416422E-5
1,36,P,2.463477826395915E-5
1,42,P,2.463477826395893E-5
1,51,P,2.4634778263902764E-5
1,16,P,2.46347782614591E-5
1,32,P,1.4598387116674354E-5
1,48,P,1.4598387111249685E-5
1,30,P,1.039279708013384E-5
1,33,P,1.0392797080129432E-5
1,29,P,8.072324140496879E-6
1,47,P,6.600109917164786E-6
1,43,P,5.582514644073165E-6
1,37,P,5.5825146343304655E-6
1,28,P,5.582514634329754E-6
1,45,P,4.83698825702618E-6
1,49,P,4.836988256909298E-6
1,40,P,4.836988249226E-6
1,44,P,4.267229098287475E-6
1,24,P,3.817607111346772E-6
1,18,P,3.453735796800878E-6
1,46,P,3.1532124385993154E-6
1,25,P,3.1532124385993154E-6
1,19,P,3.1532124324248153E-6
1,31,P,3.1532124176383153E-6
1,23,P,3.1532124108491883E-6
1,39,P,2.6858374423701494E-6
22,P,1.643611854842797E-6
