0,P,0.9974371574753592
8,P,0.001339509019576221
9,P,3.5887909006304875E-4
1,14,P,1.635142893573158E-4
1,2,P,1.6351428935722852E-4
1,6,P,1.6351428935507513E-4
1,15,P,1.6351428935507036E-4
1,13,P,1.635142888485021E-4
1,10,P,2.4224339163142426E-5
1,17,P,1.339509058415298E-5
1,18,P,9.263538981105565E-6
