2,P,0.54
0,37,P,0.11
0,23,P,0.09
23,35,P,0.04
23,34,P,0.04
0,27,P,0.04
30,P,0.02
17,P,0.02
0,6,P,0.02
24,37,P,0.01
24,27,P,0.01
23,25,P,0.01
23,24,P,0.01
23,22,P,0.01
14,27,P,0.01
14,23,P,0.01
0,36,P,0.01
0,20,P,0.0
