1,P,0.18
3,6,P,0.17
3,10,P,0.17
10,5,P,0.17
29,P,0.06
4,10,P,0.04
3,16,P,0.04
17,P,0.03
9,10,P,0.02
4,6,P,0.02
3,13,P,0.02
16,5,P,0.02
7,10,P,0.01
4,16,P,0.01
10,28,P,0.01
10,12,P,0.0
