0,P,0.71
40,42,P,0.04
39,40,1,P,0.03
14,P,0.02
55,27,P,0.01
55,18,P,0.01
42,6,P,0.01
42,55,P,0.01
42,51,P,0.01
39,6,18,P,0.01
39,6,1,P,0.01
39,55,P,0.01
39,40,18,P,0.01
3,6,27,P,0.01
3,6,18,P,0.01
3,40,27,P,0.01
3,40,18,P,0.01
10,P,0.0
