0,P,0.7188251864350984
3,P,0.10649261933314678
1,14,P,0.059475019452234164
11,P,0.044926574280650396
10,P,0.04492657407724873
1,2,P,0.007188251890891984
12,14,P,0.00627275612877474
17,P,0.004823954185978784
13,P,0.003904328251636828
4,P,0.0010543823499697925
2,12,P,7.581359399009167E-4
5,P,4.448175614503222E-4
1,15,P,2.5190242469064325E-4
6,P,2.4596632213716885E-4
9,P,2.4596632178019247E-4
16,P,6.0515357043797643E-5
8,P,2.681747358548074E-5
18,P,2.681747358548074E-5
12,15,P,2.6572202236039204E-5
7,P,2.2842537959289602E-5
