0,P,0.9960288089062331
26,P,0.0013376176203339983
30,P,0.0013376175390047316
12,P,3.5837236455238213E-4
20,28,P,1.632834125409448E-4
20,27,P,1.632834125387073E-4
3,20,P,1.6328341247909037E-4
16,P,1.3704378936923612E-4
11,P,1.3704378789762117E-4
20,22,P,4.082085313507315E-5
18,P,3.371704216340212E-5
17,P,3.371704216340212E-5
14,20,P,2.4190135092181484E-5
13,P,1.9502466232693905E-5
15,20,P,1.0936656895257434E-5
8,20,P,4.450544508929458E-6
9,20,P,3.6410791653911643E-6
7,20,P,2.6699356936770803E-6
