algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.3375,0.283,1.55,3.85,11.8,1.3,0.85,3.85
randomForest,0,0,10,0.5255,0.451,1.6,6.15,11.8,1.3,1.35,6.15
0.0,0.6,0.0,10,0.92475,0.78575,0.1,9.15,11.8,1.3,1.95,9.15
0.1,0.6,0.1,10,0.66975,0.58675,1.2,7.7,11.8,1.3,1.65,7.7
0.2,0.6,0.2,10,0.5805,0.50275,1.75,6.95,11.8,1.3,1.45,6.95
uniform,0,0,20,0.275833333333,0.21725,1.3,6.0,19.55,1.7,1.4,6.0
randomForest,0,0,20,0.36775,0.299583333333,1.05,8.1,19.55,1.7,1.8,8.1
0.0,0.6,0.0,20,0.9175,0.753083333333,0.0,18.45,19.55,1.7,3.9,18.45
0.1,0.6,0.1,20,0.53425,0.426833333333,1.55,11.75,19.55,1.7,2.55,11.75
0.2,0.6,0.2,20,0.448166666667,0.374083333333,2.05,10.05,19.55,1.7,2.15,10.05
uniform,0,0,30,0.287416666667,0.203166666667,2.15,12.45,27.15,2.05,1.8,12.45
randomForest,0,0,30,0.441833333333,0.318083333333,1.7,15.3,27.15,2.05,2.2,15.3
0.0,0.6,0.0,30,0.90525,0.679,0.0,28.05,27.15,2.05,4.0,28.05
0.1,0.6,0.1,30,0.549416666667,0.390416666667,2.85,19.1,27.15,2.05,2.8,19.1
0.2,0.6,0.2,30,0.451,0.31075,2.95,15.3,27.15,2.05,2.2,15.3
uniform,0,0,40,0.23575,0.168916666667,1.0,10.2,27.8,2.05,2.1,10.2
randomForest,0,0,40,0.343416666667,0.269916666667,0.8,11.65,27.8,2.05,2.4,11.65
0.0,0.6,0.0,40,0.921,0.771916666667,0.0,31.35,27.8,2.05,5.9,31.35
0.1,0.6,0.1,40,0.611666666667,0.49075,3.75,23.4,27.8,2.05,4.45,23.4
0.2,0.6,0.2,40,0.45275,0.351583333333,2.8,17.1,27.8,2.05,3.3,17.1
