algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.589924667068,0.553376364129,0.888854166667,0.95,9.15,11.8,1.3
randomForest,0,0,10,0.717153197216,0.673999653094,0.874890873016,1.4,9.15,11.8,1.3
0.0,0.6,0.0,10,0.978050613661,0.928551358809,0.968229166667,0.4,9.15,11.8,1.3
0.1,0.6,0.1,10,0.846202334813,0.801159909193,0.968229166667,0.4,9.15,11.8,1.3
0.2,0.6,0.2,10,0.754202040883,0.712818695742,0.943229166667,0.5,9.15,11.8,1.3
uniform,0,0,20,0.577257140014,0.507650832675,0.801183945673,2.8,18.45,19.55,1.7
randomForest,0,0,20,0.69062036097,0.61502924869,0.836273231388,2.65,18.45,19.55,1.7
0.0,0.6,0.0,20,0.952253102198,0.853554957642,0.90160061234,2.1,18.45,19.55,1.7
0.1,0.6,0.1,20,0.814213646513,0.725896874036,0.90160061234,2.1,18.45,19.55,1.7
0.2,0.6,0.2,20,0.72574327826,0.646328880958,0.868267279007,2.25,18.45,19.55,1.7
uniform,0,0,30,0.589636074226,0.505420552888,0.732614449869,5.25,28.05,27.15,2.05
randomForest,0,0,30,0.681157555556,0.592992461331,0.759558894314,5.35,28.05,27.15,2.05
0.0,0.6,0.0,30,0.89090533074,0.782882419863,0.822406116536,4.95,28.05,27.15,2.05
0.1,0.6,0.1,30,0.779758078899,0.68110162148,0.811989449869,5.0,28.05,27.15,2.05
0.2,0.6,0.2,30,0.699055863581,0.607084845272,0.801572783203,5.05,28.05,27.15,2.05
uniform,0,0,40,0.594078218633,0.510247234102,0.731315589518,5.4,31.35,27.8,2.05
randomForest,0,0,40,0.661759040724,0.573823310457,0.758260033963,5.5,31.35,27.8,2.05
0.0,0.6,0.0,40,0.891214310169,0.78367012919,0.821107256185,5.1,31.35,27.8,2.05
0.1,0.6,0.1,40,0.781708282395,0.68320241276,0.810690589518,5.15,31.35,27.8,2.05
0.2,0.6,0.2,40,0.701674413244,0.609675679341,0.800273922852,5.2,31.35,27.8,2.05
