algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.5635,0.509,5.75,9.15,11.8,1.3,1.95,9.15
randomForest,0,0,10,0.63175,0.55725,4.0,9.15,11.8,1.3,1.95,9.15
0.0,0.6,0.0,10,0.92475,0.78575,0.1,9.15,11.8,1.3,1.95,9.15
0.1,0.6,0.1,10,0.75375,0.67075,2.35,9.15,11.8,1.3,1.95,9.15
0.2,0.6,0.2,10,0.68775,0.61,3.45,9.15,11.8,1.3,1.95,9.15
uniform,0,0,20,0.5255,0.448,11.25,18.45,19.55,1.7,3.9,18.45
randomForest,0,0,20,0.6325,0.549166666667,9.3,18.45,19.55,1.7,3.9,18.45
0.0,0.6,0.0,20,0.9175,0.753083333333,0.0,18.45,19.55,1.7,3.9,18.45
0.1,0.6,0.1,20,0.75525,0.64625,6.9,18.45,19.55,1.7,3.9,18.45
0.2,0.6,0.2,20,0.676666666667,0.585416666667,8.7,18.45,19.55,1.7,3.9,18.45
uniform,0,0,30,0.535833333333,0.432,15.05,28.05,27.15,2.05,4.0,28.05
randomForest,0,0,30,0.635666666667,0.503583333333,12.0,28.05,27.15,2.05,4.0,28.05
0.0,0.6,0.0,30,0.90525,0.679,0.0,28.05,27.15,2.05,4.0,28.05
0.1,0.6,0.1,30,0.76175,0.588333333333,10.6,28.05,27.15,2.05,4.0,28.05
0.2,0.6,0.2,30,0.696,0.543166666667,13.9,28.05,27.15,2.05,4.0,28.05
uniform,0,0,40,0.536333333333,0.445083333333,17.55,31.35,27.8,2.05,5.9,31.35
randomForest,0,0,40,0.625583333333,0.532916666667,15.65,31.35,27.8,2.05,5.9,31.35
0.0,0.6,0.0,40,0.921,0.771916666667,0.0,31.35,27.8,2.05,5.9,31.35
0.1,0.6,0.1,40,0.781916666667,0.648166666667,10.25,31.35,27.8,2.05,5.9,31.35
0.2,0.6,0.2,40,0.695166666667,0.58125,14.45,31.35,27.8,2.05,5.9,31.35
