0,2,P,0.77
2,15,19,P,0.05
4,P,0.04
0,17,P,0.04
2,18,19,P,0.02
2,3,P,0.01
2,18,12,P,0.01
2,18,11,P,0.01
2,15,16,P,0.01
2,15,11,P,0.01
10,P,0.0
