0,1,2,P,0.35
20,2,P,0.3
0,15,2,P,0.05
0,13,2,P,0.03
0,1,38,P,0.03
0,1,35,P,0.03
20,38,P,0.02
0,44,2,P,0.02
0,40,2,P,0.02
0,39,2,P,0.02
20,43,P,0.01
20,42,P,0.01
20,37,P,0.01
20,36,P,0.01
20,35,P,0.01
20,33,P,0.01
20,28,P,0.01
0,1,43,P,0.01
0,1,41,P,0.01
0,1,36,P,0.01
0,1,33,P,0.01
0,13,33,P,0.0
