0,P,0.72
19,1,P,0.07
19,2,P,0.02
7,12,1,P,0.01
7,11,1,P,0.01
7,10,1,P,0.01
4,12,1,P,0.01
4,11,1,P,0.01
4,10,1,P,0.01
19,8,P,0.01
19,29,P,0.01
18,26,1,P,0.01
18,23,1,P,0.01
18,14,1,P,0.01
18,10,1,P,0.01
13,P,0.0
