0,P,0.74
19,1,P,0.05
7,12,1,P,0.01
7,11,1,P,0.01
7,10,1,P,0.01
4,26,1,P,0.01
4,14,1,P,0.01
4,12,1,P,0.01
4,11,1,P,0.01
4,10,1,P,0.01
19,2,P,0.01
18,26,1,P,0.01
18,14,1,P,0.01
18,11,1,P,0.01
13,P,0.0
