0,P,0.32
3,5,P,0.2
5,1,P,0.19
3,2,P,0.17
5,8,P,0.04
10,2,1,P,0.02
5,7,P,0.01
4,2,8,P,0.01
3,11,P,0.01
10,11,1,P,0.0
