0,P,0.727185487363196
38,40,P,0.07271854929061583
6,40,P,0.0727185492631647
14,P,0.05957103133913928
40,48,P,0.018179637322043835
40,46,P,0.01817963732113092
45,P,0.015960175042027885
20,40,P,0.007669534494967638
26,40,P,0.004119707939607013
36,P,0.0015015942858748964
41,P,8.685456960773452E-4
44,P,5.373433852037769E-4
13,P,3.502918566974853E-4
19,P,8.997884242245779E-5
23,P,6.81580296513021E-5
9,P,6.815802965130208E-5
15,P,4.120364219065901E-5
51,P,3.274933317305852E-5
4,P,3.274933317305852E-5
12,P,3.274933317305852E-5
50,P,2.6357851117246043E-5
10,P,2.6357851117246043E-5
8,P,2.1453154584198336E-5
