2,P,0.6876230479700802
3,58,P,0.06876230532029623
3,28,P,0.06876230510726819
19,P,0.05633007651001328
3,17,P,0.017190576330240955
3,20,P,0.01719057632988521
3,47,P,0.010187008194154768
3,16,P,0.010187008190045838
3,41,P,0.007252274389355196
3,43,P,0.0056330080518334985
3,29,P,0.005633008051211038
3,25,P,0.005633008051163241
3,49,P,0.003895575710767529
3,51,P,0.0038955757083807725
3,27,P,0.003375334446570973
3,36,P,0.002977746612701497
3,31,P,0.0029777466077824588
3,11,P,0.0026639925923283322
3,8,P,0.002663992587124279
3,30,P,0.0026639925776250676
3,23,P,0.0022003664224598623
3,38,P,0.0018742240245530923
3,9,P,0.0017449140489004642
3,15,P,0.0016322984568179597
3,4,P,0.001445695639827362
52,P,0.001419900228498441
3,61,P,0.0012973850091563177
3,62,P,0.001297384819472031
60,P,8.212925714504927E-4
39,P,3.31234270165131E-4
45,P,2.251694003388619E-4
13,P,1.584155645758188E-4
18,P,1.1579319393611048E-5
7,P,9.762823540661004E-6
22,P,9.762823540661004E-6
14,P,8.289056526514926E-6
12,P,7.083090976967827E-6
10,P,7.083090976967827E-6
