2,3,P,0.49105853237145497
0,P,0.4861965649092397
4,P,0.01680295332154789
2,11,P,0.0012154914165918842
3,9,P,0.0012154914144527449
3,14,P,0.0012154914144527449
12,P,7.131596052717654E-4
1,2,P,5.127854415053244E-4
10,P,3.0086421045679687E-4
2,13,P,2.7544386738407315E-4
6,P,1.6636587447077118E-4
8,P,1.0565327605917758E-4
7,P,1.0565327605917758E-4
5,P,1.0565327605917758E-4
11,14,P,3.0086421210512045E-6
9,11,P,3.0086421210499894E-6
1,9,P,1.2577286210363148E-6
1,14,P,1.2577286210363015E-6
9,13,P,6.817917548735991E-7
13,14,P,6.817917547804029E-7
