1,P,0.9733903871328129
39,P,0.021363849021793963
31,35,P,0.0024334150978953042
3,35,P,0.002433415097887178
35,36,P,9.637528658951508E-5
27,35,P,9.637528655297187E-5
35,42,P,2.4093821647231116E-5
32,35,P,2.409382161227904E-5
10,35,P,2.4093218790898767E-5
28,P,2.1891008437221988E-5
7,P,1.99009167611109E-5
20,P,1.99009167611109E-5
5,P,1.1511002514760797E-5
29,P,1.1511002514760793E-5
33,P,7.121514833711108E-6
26,P,7.121514833711107E-6
38,P,4.642485089219654E-6
15,P,3.1559101149182377E-6
16,P,2.2203073856968673E-6
8,P,1.6075196806603273E-6
22,P,1.6075196806603273E-6
14,P,1.1925068376689556E-6
6,P,2.8432276791371967E-7
9,P,2.3376620469352972E-7
