1,P,0.6983202179894297
13,21,P,0.1313367764734479
13,22,P,0.03283419411491515
13,24,P,0.032834194105636115
13,29,P,0.032834193370773694
13,25,P,0.01945730021828404
3,13,P,0.019457300213046036
13,20,P,0.008796883999620716
13,23,P,0.006446926742703569
13,18,P,0.00508825577605741
13,26,P,0.0038663186385117163
13,28,P,0.0038663149638183763
11,13,P,0.00333280455289548
10,P,3.5877419960435563E-4
4,P,3.005790600259911E-4
30,P,3.005790600259911E-4
14,P,2.54325014765696E-4
7,P,2.170987533941639E-4
8,P,9.696275304381422E-5
