algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.56925,0.48825,6.75,9.35,13.3,1.45,1.95,9.35
randomForest,0,0,10,0.61625,0.48,1.55,9.35,13.3,1.45,1.95,9.35
0.0,0.6,0.0,10,0.9105,0.70275,0.0,9.35,13.3,1.45,1.95,9.35
0.1,0.6,0.1,10,0.762,0.59225,2.55,9.35,13.3,1.45,1.95,9.35
0.2,0.6,0.2,10,0.7045,0.61675,5.35,9.35,13.3,1.45,1.95,9.35
uniform,0,0,20,0.523166666667,0.335083333333,14.2,19.4,31.7,2.4,4.0,19.4
randomForest,0,0,20,0.58175,0.375333333333,6.45,19.4,31.7,2.4,4.0,19.4
0.0,0.6,0.0,20,0.924,0.567166666667,1.85,19.4,31.7,2.4,4.0,19.4
0.1,0.6,0.1,20,0.770333333333,0.515791666667,7.6,19.4,31.7,2.4,4.0,19.4
0.2,0.6,0.2,20,0.679916666667,0.449875,11.1,19.4,31.7,2.4,4.0,19.4
uniform,0,0,30,0.4895,0.2675,19.3,27.85,46.25,2.75,4.0,27.85
randomForest,0,0,30,0.484083333333,0.257716666667,11.05,27.85,46.25,2.75,4.0,27.85
0.0,0.6,0.0,30,0.900583333333,0.476891666667,1.9,27.85,46.25,2.75,4.0,27.85
0.1,0.6,0.1,30,0.709166666667,0.420933333333,12.15,27.85,46.25,2.75,4.0,27.85
0.2,0.6,0.2,30,0.627166666667,0.360833333333,15.8,27.85,46.25,2.75,4.0,27.85
uniform,0,0,40,0.460583333333,0.250616666667,18.45,30.1,48.8,2.75,6.0,30.1
randomForest,0,0,40,0.513916666667,0.272291666667,11.05,30.1,48.8,2.75,6.0,30.1
0.0,0.6,0.0,40,0.856,0.491116666667,1.15,30.1,48.8,2.75,6.0,30.1
0.1,0.6,0.1,40,0.707,0.421066666667,12.25,30.1,48.8,2.75,6.0,30.1
0.2,0.6,0.2,40,0.6155,0.3725,17.4,30.1,48.8,2.75,6.0,30.1
